alpha-alumina	B-MAT
–	O
boron	B-MAT
nitride	I-MAT
(	O
α-Al2O3	B-MAT
–	O
BN	B-MAT
)	O
nanocomposite	B-DSC
was	O
synthesized	O
using	O
mixtures	O
of	O
aluminum	B-MAT
nitride	I-MAT
,	O
boron	B-MAT
oxide	I-MAT
and	O
pure	B-DSC
aluminum	B-MAT
as	O
raw	O
materials	O
via	O
mechanochemical	B-SMT
process	I-SMT
under	O
a	O
low	O
pressure	O
of	O
nitrogen	O
gas	O
(	O
<nUm>	O
MPa	O
)	O
.	O

influence	O
of	O
La2O3	B-MAT
/	O
OSr	B-MAT
doping	O
of	O
O20SnTi5Zr4	B-MAT
ceramics	B-DSC
on	O
their	O
sintering	B-PRO
behavior	I-PRO
and	O
microwave	B-PRO
dielectric	I-PRO
properties	I-PRO

The	O
temperature	O
dependence	O
of	O
the	O
resistivity	B-PRO
can	O
be	O
understood	O
as	O
arising	O
from	O
the	O
Kondo	B-PRO
effect	I-PRO
in	O
the	O
presence	O
of	O
crystal	O
fields	O
.	O

the	O
SiOx	B-MAT
thin	B-DSC
layer	I-DSC
coated	B-SMT
on	O
Ti	B-MAT
-	O
doped	B-DSC
porous	I-DSC
hematite	B-MAT
induces	O
preferential	O
deposition	O
of	O
the	O
Ti	B-MAT
-	I-MAT
FeHO2	I-MAT
co-catalyst	B-APL
on	O
the	O
inner	O
pores	O
of	O
Ti-PH	B-MAT
,	O
which	O
enhances	O
oxygen	B-PRO
evolution	I-PRO
reaction	I-PRO
performance	I-PRO
without	O
interrupting	O
the	O
absorption	O
of	O
light	O
by	O
hematite	B-MAT
.	O

A	O
novel	O
and	O
efficient	O
surfactant	O
-	O
free	O
synthesis	O
of	O
Rutile	B-SPL
TiO2	B-MAT
microflowers	B-DSC
with	O
enhanced	O
photocatalytic	B-PRO
activity	I-PRO

The	O
interval	O
of	O
striation	O
rings	O
is	O
wider	O
for	O
vacuum	B-SMT
-	I-SMT
grown	I-SMT
whiskers	B-DSC
as	O
compared	O
with	O
air	B-SMT
-	I-SMT
grown	I-SMT
whiskers	B-DSC
.	O

the	O
