synthesis	O
and	O
photocatalytic	B-PRO
properties	I-PRO
of	O
zn2+	O
doped	B-DSC
anatase	B-SPL
O2Ti	B-MAT
nanofibers	B-DSC

structural	B-PRO
and	O
optical	B-CMT
characterizations	I-CMT
of	O
nitrogen	O
-	O
doped	B-DSC
OZn	B-MAT
nanowires	B-DSC
grown	O
by	O
MOCVD	B-CMT

the	O
variation	O
of	O
UV	B-PRO
-	I-PRO
to	I-PRO
-	I-PRO
green	I-PRO
band	I-PRO
emission	I-PRO
was	O
greatly	O
influenced	O
by	O
annealing	B-SMT
temperatures	O
and	O
doping	B-PRO
concentration	I-PRO
.	O

we	O
describe	O
time	O
integrated	O
and	O
time	B-CMT
resolved	I-CMT
photoluminescence	I-CMT
measurements	O
made	O
on	O
symmetric	O
and	O
asymmetric	O
AsGa	B-MAT
/	O
AlAs	B-MAT
double	B-APL
barrier	I-APL
resonant	I-APL
tunneling	I-APL
diodes	I-APL
in	O
order	O
to	O
explore	O
the	O
relationship	O
between	O
the	O
optical	B-PRO
and	O
electrical	B-PRO
properties	I-PRO
.	O

The	O
sintering	B-SMT
curve	O
of	O
the	O
compact	O
pellet	B-DSC
has	O
a	O
significant	O
shrinkage	O
with	O
a	O
linear	O
rate	O
of	O
18.5	O
%	O
at	O
about	O
1341K	O
.	O

the	O
decrease	O
in	O
hc2	B-PRO
and	O
hirr	B-PRO
,	O
together	O
with	O
the	O
harmful	O
effects	O
from	O
impurity	O
phases	O
such	O
as	O
MgO	B-MAT
is	O
the	O
reason	O
for	O
the	O
decrease	O
in	O
jc	B-PRO
.	O

Both	O
scanning	B-CMT
electron	I-CMT
microscopy	I-CMT
(	O
SEM	B-CMT
)	O
and	O
transmission	B-CMT
electron	I-CMT
microscopy	I-CMT
(	O
TEM	B-CMT
)	O
observations	O
showed	O
that	O
Li2MnO3	B-MAT
was	O
well	O
-	O
defined	O
one	O
-	O
dimensional	O
nanobelts	B-DSC
.	O

thermal	B-PRO
property	I-PRO
of	O
AgInSe2	B-MAT
was	O
analyzed	O
using	O
differential	B-CMT
scanning	I-CMT
calorimetry	I-CMT
(	O
DSC	B-CMT
)	O
technique	O
.	O

Mössbauer	B-CMT
measurements	I-CMT
of	O
the	O
compounds	O
indicate	O
low	B-PRO
spin	I-PRO
Fe2+	O
in	O
tetrahedral	O
coordination	O
.	O

The	O
calcite	B-SPL
-	O
type	O
unit	B-PRO
-	I-PRO
cell	I-PRO
parameters	I-PRO
follow	O
closely	O
Vegard	B-CMT
's	I-CMT
Law	I-CMT
.	O

It	O
was	O
found	O
that	O
the	O
light	B-PRO
extraction	I-PRO
efficiencies	I-PRO
of	O
one	O
and	O
two	O
interfaces	B-DSC
of	O
ITO	B-MAT
/	O
ZnO	B-MAT
-	O
layer	B-DSC
texturing	O
LEDs	B-APL
were	O
22.29	B-PVL
%	B-PUT
and	O
35.54	B-PVL
%	B-PUT
at	O
20	O
mA	O
of	O
current	O
injection	O
,	O
respectively	O
.	O

two	O
different	O
corrosion	B-PRO
mechanisms	I-PRO
(	O
oxide	B-MAT
characteristics	O
)	O
were	O
identified	O
and	O
correlated	O
with	O
the	O
observed	O
surface	B-DSC
changes	O
.	O

jahn	B-PRO
-	I-PRO
teller	I-PRO
effect	I-PRO
in	O
the	O
LaSrCuO	B-MAT
superconductor	B-PRO

and	O
θWeiss	B-PRO
=	O
−199(1)	O
K	O
are	O
obtained	O
from	O
the	O
reciprocal	B-PRO
susceptibility	I-PRO
.	O

FE	B-CMT
-	I-CMT
SEM	I-CMT
and	O
TEM	B-CMT
observation	O
reveals	O
that	O
the	O
OZn	B-MAT
group	B-DSC
