The	O
cross-sectional	B-PRO
microhardness	I-PRO
increases	O
with	O
Ts	O
from	O
17	B-PVL
to	O
20	B-PVL
to	O
24	B-PVL
GPa	B-PUT
for	O
Ts	O
=	O
500	O
,	O
600	O
,	O
and	O
700	O
°	O
C	O
,	O
respectively	O
,	O
which	O
is	O
attributed	O
to	O
a	O
decrease	O
in	O
the	O
effective	O
Ag	B-MAT
concentration	O
associated	O
with	O
temperature	O
-	O
activated	O
segregation	O
.	O

The	O
SEM	B-CMT
analysis	O
shows	O
an	O
average	O
grain	B-PRO
size	I-PRO
of	O
2	B-PVL
μm	B-PUT
for	O
all	O
the	O
solid	B-DSC
solutions	I-DSC
.	O

all	O
samples	O
demonstrated	O
improved	O
crystalline	B-PRO
quality	I-PRO
,	O
as	O
measured	O
by	O
the	O
FWHM	O
of	O
the	O
OZn	B-MAT
(	O
0002	O
)	O
rocking	B-CMT
curve	I-CMT
,	O
with	O
increasing	O
substrate	B-DSC
temperature	O
.	O

A	O
static	B-PRO
contact	I-PRO
angles	I-PRO
as	O
high	O
as	O
156	B-PVL
°	B-PUT
shows	O
the	O
superhydrophobicity	B-PRO
of	O
the	O
nanothermite	B-DSC
film	I-DSC
.	O

The	O
microstructure	B-PRO
of	O
the	O
SLMed	B-SMT
Ti-6Al-4V	B-MAT
samples	O
consists	O
of	O
fully	O
martensites	B-SPL
.	O

the	O
structural	B-PRO
and	O
morphological	B-CMT
characterization	I-CMT
was	O
studied	O
by	O
x-ray	B-CMT
diffraction	I-CMT
(	O
XRD	B-CMT
)	O
and	O
scanning	B-CMT
electron	I-CMT
microscope	I-CMT
(	O
SEM	B-CMT
)	O
.	O

High	O
-	O
temperature	O
oxidation	B-PRO
behavior	I-PRO
of	O
un-dense	B-PRO
Ti3AlC2	B-MAT
material	O
at	O
1000	O
°	O
C	O
in	O
air	O

the	O
resulting	O
films	B-DSC
appeared	O
smooth	O
,	O
uniform	O
and	O
well	O
adherent	O
to	O
the	O
substrate	B-DSC
and	O
diffusely	O
reflecting	O
with	O
color	O
changing	O
from	O
grayish	O
-	O
brown	O
to	O
light	O
-	O
brown	O
as	O
x	O
